// Airframe: F-15ABCD
// Cockpit Type: F-15C
// Last edited: Oct 2025 - Van

// Search for //WIP comments
// Blender outputs incorrectly as +X,+Y,+Z, should be -Z,-X,+Y. X right, Y up, Z forward.
// <command name>   <x>   <y>   <z>   <size>   <snd>   <msbtn>   <wheel>
// Panel order: left to right, top down
// <wheel> : w means wheel , p means this button is invariant to the switch & knobs config options

/////////////////////////
//LEFT PANEL
/////////////////////////

//GND PWR Panel (n/i)

//BIT Panel (n/i)

//JTIDS
// SimF15JtidsA								0.533190	1.914193	-2.408727	20	115	1
// SimF15JtidsB								0.533190	1.914193	-2.408727	20	115	2
SimF15JtidsNorm								0.165478	1.813320	-2.214946	20	115	1
SimF15JtidsZero								0.165478	1.813320	-2.214946	20	115	2
SimF15JtidsChannelInc						0.291573	1.697338	-2.233163	20	125	1	w
SimF15JtidsChannelDec						0.291573	1.697338	-2.233163	20	125	2	w
SimF15JtidsInc								0.226706	1.528190	-2.243077	30	124	1	w
SimF15JtidsDec								0.226706	1.528190	-2.243077	30	124	2	w

//KY58 Panel (n/i)

//ICS Panel (n/i)

//AAI Panel 399661
SimF15AIFFMasterInc              			0.049811	1.840529	-2.212261	25	124	1	w
SimF15AIFFMasterDec              			0.049811	1.840529	-2.212261	25	124	2	w
SimF15AIFFModeInc             				0.054990	1.750490	-2.251373	25	125	1	w
SimF15AIFFModeDec             				0.054990	1.750490	-2.251373	25	125	2	w
SimF15AIFFCodeDigit1Inc       				0.055008	1.671481	-2.259160	15	125	1	w
SimF15AIFFCodeDigit1Dec       				0.055008	1.671481	-2.259160	15	125	2	w
SimF15AIFFCodeDigit2Inc       				0.055019	1.629267	-2.263439	15	125	1	w
SimF15AIFFCodeDigit2Dec       				0.055019	1.629267	-2.263439	15	125	2	w
SimF15AIFFCodeDigit3Inc       				0.055008	1.586928	-2.267501	15	125	1	w
SimF15AIFFCodeDigit3Dec       				0.055008	1.586928	-2.267501	15	125	2	w
SimF15AIFFCodeDigit4Inc       				0.055020	1.544919	-2.271760	15	125	1	w
SimF15AIFFCodeDigit4Dec       				0.055020	1.544919	-2.271760	15	125	2	w

//IFF Panel
SimF15IFFCypherInc              			-0.230047	1.847813	-2.211540	20	311	1
SimF15IFFCypherDec              			-0.230047	1.847813	-2.211540	20	311	2
SimF15IFFModeInc                			-0.230047	1.751002	-2.221092	20	311	1
SimF15IFFModeDec                			-0.230047	1.751002	-2.221092	20	311	2
SimF15IFFMonitorInc             			-0.198530	1.656423	-2.230423	20	115	1
SimF15IFFMonitorDec             			-0.198530	1.656423	-2.230423	20	115	2
SimF15IFFMasterInc              			-0.230047	1.537791	-2.242126	20	311	1
SimF15IFFMasterDec              			-0.230047	1.537791	-2.242126	20	311	2
SimF15IFFM1Digit1Inc          				-0.118962	1.828791	-2.245338	15	125	1	w
SimF15IFFM1Digit1Dec          				-0.118962	1.828791	-2.245338	15	125	2	w
SimF15IFFM1Digit2Inc          				-0.118951	1.787376	-2.249539	15	125	1	w
SimF15IFFM1Digit2Dec          				-0.118951	1.787376	-2.249539	15	125	2	w
SimF15IFFM1Inc                  			-0.101563	1.728162	-2.234362	20	115	1
SimF15IFFM1Dec                  			-0.101563	1.728162	-2.234362	20	115	2
SimF15IFFM2Inc                  			-0.101563	1.658566	-2.241228	20	115	1
SimF15IFFM2Dec                  			-0.101563	1.658566	-2.241228	20	115	2
SimF15IFFM3aInc                 			-0.101563	1.588379	-2.248152	20	115	1
SimF15IFFM3aDec                 			-0.101563	1.588379	-2.248152	20	115	2
SimF15IFFMcInc                  			-0.101563	1.517207	-2.255174	20	115	1
SimF15IFFMcDec                  			-0.101563	1.517207	-2.255174	20	115	2

//ICC Panel
SimRadio2Freq1Dec               			-0.067791	1.342139	-2.271211	15	125	2	w
SimRadio2Freq1Inc               			-0.067791	1.342139	-2.271211	15	125	1	w
SimRadio2Freq3Dec               			-0.067791	1.250445	-2.280530	15	125	2	w
SimRadio2Freq3Inc               			-0.067791	1.250445	-2.280530	15	125	1	w
SimRadio2Freq2Dec               			-0.067791	1.296404	-2.275859	15	125	2	w
SimRadio2Freq2Inc               			-0.067791	1.296404	-2.275859	15	125	1	w
SimRadio2Freq4Dec               			-0.067791	1.204416	-2.285208	15	125	2	w
SimRadio2Freq4Inc               			-0.067791	1.204416	-2.285208	15	125	1	w
SimRadio2Freq5Dec               			-0.067791	1.157382	-2.289989	15	125	2	w
SimRadio2Freq5Inc							-0.067791	1.157382	-2.289989	15	125	1	w
SimCycleRadio2Channel						-0.067791	1.067880	-2.29424	20	125	1	w
SimDecRadio2Channel							-0.067791	1.067880	-2.29424	20	125	2	w
SimRadio2DisplayFrequencyR1      			0.045392	1.310215	-2.275596	20	116	1	
SimRadio2DisplayFrequencyR2      			0.045392	1.310215	-2.275596	20	116	2	
SimF15LaunchVolumeInc            			0.240235	1.360595	-2.265340	15	116	1	w
SimF15LaunchVolumeDec            			0.240235	1.360595	-2.265340	15	116	2	w
SimF15WpnVolumeInc               			0.241243	1.176584	-2.284329	15	116	1	w
SimF15WpnVolumeDec               			0.241243	1.176584	-2.284329	15	116	2	w
SimStepComm2VolumeUp             			0.183976	1.060791	-2.259723	20	116	1	w
SimStepComm2VolumeDown           			0.183976	1.060791	-2.259723	20	116	2	w
SimF15ICSVolumeInc               			0.169125	1.170232	-2.248323	15	116	1	w
SimF15ICSVolumeDec               			0.169125	1.170232	-2.248323	15	116	2	w
SimF15CautionVolumeInc           			0.168058	1.355937	-2.228995	15	116	1	w
SimF15CautionVolumeDec           			0.168058	1.355937	-2.228995	15	116	2	w
SimRadio2ModeInc                 			0.048272	1.062208	-2.281086	25	125	1	w
SimRadio2ModeDec                 			0.048272	1.062208	-2.281086	25	125	2	w

//EW Panel
SimF15EWRwrIcsCombat            			-0.357433	1.833318	-2.212970	20	311	1
SimF15EWRwrIcsTrng              			-0.357433	1.833318	-2.212970	20	311	2
SimF15EWPodsXmit                			-0.357433	1.712615	-2.224878	20	311	1
SimF15EWPodsStdy                			-0.357433	1.712615	-2.224878	20	311	2
SimF15EWIcsInc                  			-0.357433	1.579001	-2.238060	20	311	1
SimF15EWIcsDec                  			-0.357433	1.579001	-2.238060	20	311	2

//EXT LT Panel
SimF15FormationLightsInc        			-0.335169	1.320736	-2.263540	35	124	1	w
