// RADIOMAP.DAT
// Radio frequency map -- flat text file, controls frequencies used to talk to flights and other agencies.
// last updated: 28th of February 2021 by Kolbe
// 
// "//" introduces a line treated as a comment
// "," delimiter
// 
// Format:  <agency_name>, <UHF1_frequency>, <VHF_frequency>, <UHF2_frequency>
// 
// <agency_name>: 		a string that identifies the flight callsign or equivalent
// <UHF1_frequency>:	This is the tactical frequency in case a flight with that callsign is the primary flight of a package.
// <VHF_frequency>:		This is the unique VHF frequency for Intra Flight comms.
// <UHF2_frequency>:	This is a backup / emergency UHF frequency in case you lose comms on VHF.
// 
// Frequencies are integers that represent radio frequencies in (kHz * 1000).
// "NONE" is used to indicate no frequency assigned to an agency in that band.
// 
// Note: frequencies are range checked so make sure to use legitimate values for
// the frequency band in question.
// 
// ========================================================================================
// FALCON BMS RADIO SPECTRUM MANAGEMENT:
// 
// VHF: Primary Aircraft (F-16s only):
// 138025 - 139975 (198 frequencies)
// 
// VHF: Secondary Aircraft (Blue Team):
// 30.025 - 37.450 and 136.025 - 143.975 (405 frequencies)
// 
// VHF: Secondary Aircraft (Red Team):
// 47.400 - 60.975 (405 frequencies)
// 
// VHF: Tertiary Fighter Aircraft (Blue & Red Team):
// 47.400 - 60.975 (126 frequencies)
// 
// VHF: Tertiary Bomber Aircraft (Blue & Red Team):
// 37.475 - 47.375 (81 frequencies)
// 
// VHF: Quarternary Aircraft (Blue & Red Team)
// 37.475 - 47.375 (216 frequencies)
// 
// VHF: Non Human flyable (Helicopters, Blue & Red Team)
// 37.475 - 47.375 (90 frequencies)
// 
// VHF: Backup frequencies (39, not used in this file):
// 30000, 31000, 32000, 33000, ... 58000, 59000, 60000, 61.000 and
// 138000, 139000, 140000, 141000, 142000, 143000, 144000
// 
// VHF: ATC Operations:
// conducted in the 118000 - 136000 range. Don't use them here.
// 
// UHF: checked against station+ils,dat (Nevada, KTO, ITO, TvT, Balkans, CET)
// 225000 - 399975 (3042 frequencies plus GUARD, ADVISORY, COMMON_TWR, COMMON_APPR)
// 
// ========================================================================================
// Generic agencies:
// 
// 
// ========================================================================================
// Flight Callsigns:
// 
// 
UNICOM, NONE, 119500, NONE
GUARD, 243000, 121500, NONE
ADVISORY, 339750, NONE, NONE
COMMON_TWR, 257775, 122125, NONE
COMMON_APPR, 362200, 142450, NONE
AWACS_CHECKIN, NONE, NONE, NONE
INTERPLANE, NONE, NONE, NONE
FAC, NONE, NONE, NONE
PLACEHOLDER, NONE, NONE, NONE
PLACEHOLDER, NONE, NONE, NONE
PLACEHOLDER, NONE, NONE, NONE
PLACEHOLDER, NONE, NONE, NONE
PLACEHOLDER, NONE, NONE, NONE
PLACEHOLDER, NONE, NONE, NONE
PLACEHOLDER, NONE, NONE, NONE
PLACEHOLDER, NONE, NONE, NONE
Amber1, 303350, 53225, 336175
Amber2, 333600, 56675, 288925
Amber3, 239200, 54800, 303400
Amber4, 258025, 55725, 229475
Amber5, 307075, 53350, 241150
Amber6, 290925, 55875, 312050
Amber7, 228675, 60200, 336325
Amber8, 303650, 49675, 345450
Amber9, 264225, 48325, 321825
Angel1, 359500, 46025, 258850
Angel2, 347150, 39700, 236850
Angel3, 378625, 39150, 310500
Angel4, 227575, 40375, 263775
Angel5, 241350, 45175, 296125
Angel6, 285225, 46775, 283925
Angel7, 391575, 44275, 310075
Angel8, 230850, 39925, 229075
Angel9, 371650, 42850, 246975
Argos1, 336675, 49450, 299550
Argos2, 388575, 52650, 291675
Argos3, 275125, 58200, 339550
Argos4, 314200, 51225, 334525
Argos5, 352150, 57875, 298850
Argos6, 270900, 54550, 235625
Argos7, 336500, 54875, 321625
Argos8, 259625, 54725, 240625
Argos9, 234900, 52275, 346375
Avenger1, 283425, 33125, 328075
Avenger2, 279700, 34525, 310550
Avenger3, 254900, 137125, 334275
Avenger4, 348725, 137100, 251750
Avenger5, 357350, 34900, 346500
Avenger6, 251475, 34975, 341450
Avenger7, 245925, 32150, 341750
Avenger8, 309650, 140725, 261775
Avenger9, 380625, 30150, 294175
